SL_NO,PROVIDER_NAME,EMIRATE,PROVIDER_TYPE,INSURANCE_NETWORK,NOTES_EXCERPT
MOH-F-1000184,ABRAHAMS MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000219,AL AMUMAH MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000254,CARE MEDICAL CENTRE(IMARA GR),SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000048,IDEAL MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000222,AL SABAH MEDICAL CENTRE LLC(HNC GROUP),SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000050,GOOD HEALTH SPECIALIZED MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000526,EVE MEDICAL CENTRE LLC(SHJ),SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000026,VENNIYIL MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOHI126,REEM SPECIALIST MEDICAL CENTRE -ROLLA SHARJAH,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOHM2265,REEM AL NAHDA MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6764,ASTER AL NAHDA -SHARJAH,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6968,ASTER MEDICAL CENTRE-ABU TINA,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6984,ASTER MEDICAL CENTRE-ABUSHAGARA,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000553,ASTER MUWAILEH MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6765,ACCESS AL ROLLA MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH2812,ACCESS CLINIC MUWEILAH,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6211,AL YAMAMAH MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000157,ZAFERULLA MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000228,AL BANNA MEDICAL CENTERE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6662,ALNOOR ALNAHDA POLY CLINIC L.L.C (FORMERLY AL SHIFA AL UROPI MEDICAL CENTER LLC),SHJ,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
MOH-F-1000418,AL SHIFA AL KHALEEJI MEDICAL CENTRE(SHJ),SHJ,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
MOH-F-1000063,AL FAIEZ MEDICAL CENTRE(AL- SHAMS GROUP),SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000065,AL FURQAN MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000061,AL SHAMS AL JADEED MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000060,AL SHAMS MEDICAL CENTRE-AREA 3 SHJ,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000062,AL KANARY MEDICAL CENTRE L.L.C,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000758,AL SEYOUH MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000313,AL QASIMIAH MEDICAL CLINIC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000002,AL RAHAH MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000194,YAS MEDICAL CENTER LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH5895,SABAH AL NOOR MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH5882,AL MALIHA MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000153,AL AHLIA REGIONAL MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6879,SHAMAL AL AHALIA MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000614,FIRST GULF MEDICAL CENTER-MUWAILAH-(ADVANCED GROUP),SHJ,CLINIC,UNKNOWN,"Coordinates are approximate, derived from the described loca"
MOH-F-1000670,ACCESS AL SAJAA CLINIC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000274,DOCTORS MEDICAL CENTRE LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000416,UNICARE MEDICAL CENTRE LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000679,INARA MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000032,LIFELINE MEDICAL CENTRE(FORMERLY DR ASHOK MENON MEDICAL CENTER),SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000369,AL AMANAH MEDICAL CENTER LLC,SHJ,CLINIC,Aman,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000289,SAHARA MEDICAL CENTRE L.L.C,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000734,RAYHAN GULF MEDICAL CENTER LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000197,ISHAQ BIN OMRAN MEDICAL CENTER LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000732,MODERN HEALTHCARE CENTER LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000777,SADAF AL SAJAH MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000672,HAPPY WAY MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000798,FAMILY STAR MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000837,AL MAHABAH CLINIC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000801,AL TAJ AL FADHI CLINIC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000833,PURE PATH MEDICAL CENTER LLC SP,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000727,SIMRAN MEDICAL CLINIC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000843,WELL CARE MEDICAL CENTER LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000120,AL ARIF MEDICAL CENTRE LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000831,MAX CARE MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000544,NOOR MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000603,AL AMAL MEDICAL CENTRE LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000483,SAMEENA MEDICAL CENTRE L.L.C,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000090,AL DHAID MEDICAL CENTRE,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000014,RIAZ SPECIALIST MEDICAL CENTER LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000810,AL NEBRAS MEDICAL CENTER -L L C SHJ. BR,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000115,AL SANABIL MEDICAL CENTER L.L.C,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000640,EBN HAYAN MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6748,AL DAWLI MEDICAL COSMETIC CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000917,SHIFA MUWAILEH MEDICAL CENTER L.L.C,SHJ,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
MOH-F-1000873,NAFEESA MEDICAL CENTER LLC,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000817,TRUE CARE MEDICAL CENTER,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000963,NABDH AL SHIFA MEDICAL CENTER,SHJ,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
MOH-F-1000971,SHIFA AL JAZEERA MEDICAL CENTRE  BRANCH - 1,SHJ,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
MOH-F-1000969,MAX CARE MEDICAL CENTER (S.P.S - L.L.C) - SHJ. BR 1,SHJ,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000396,SHARJAH CORNICHE MEDICAL CENTRE(DAY CARE HOSPITAL),SHJ,DAYCARE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000096,AL SAHA WA AL SHIFAA HOSPITAL FOR ONE DAY SURGERY,SHJ,DAYCARE,Shifa/ADICO,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000669,ORIANA HOSPITAL FOR ONE DAY SURGERY LLC SOLE PROPRIETORSHIP,SHJ,DAYCARE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000315,DR.SAI GANESH PILLAI MEDICAL CENTRE,SHJ,DENTAL,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000935,INDIANA DENTAL AND AESTHETIC CENTER LLC,SHJ,DENTAL,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000046,CLASS MEDICAL CENTRE,SHJ,DIAGNOSTIC CENTRE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000086,AL SAFWA RADIOLOGY CENTER LLC,SHJ,DIAGNOSTIC CENTRE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6719,REEM AL BAWADI MEDICAL AND DIAGNOSTIC CENTRE(NOVO GR),SHJ,DIAGNOSTIC CENTRE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOHI1314,AVIVO GR-REEM MEDICAL DIAGNOSTIC CENTRE,SHJ,DIAGNOSTIC CENTRE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000045,MODERN MEDICAL LAB,SHJ,DIAGNOSTIC CENTRE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000775,LIFE MEDICAL DIAGNOSTICS LABORATORIES LLC,SHJ,DIAGNOSTIC CENTRE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000280,EMIRATES MEDICAL LAB L.L.C.SP,SHJ,DIAGNOSTIC CENTRE,Emirates NBD,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000462,BURJEEL SPECIALTY HOSPITAL LLC (SHARJAH),SHJ,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-1000173,EMIRATES EUROPEAN HOSPITAL LLC,SHJ,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-1000023,CENTRAL HOSPITAL LLC,SHJ,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-1000659,ASTER HOSPITAL SHARJAH,SHJ,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-1000595,CITY SPECIALTY HOSPITAL L.L.C SP,SHJ,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-1000664,DAR AL KAMAL HOSPITAL,SHJ,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-5000692,HAMAD AL MUMAYAZAH PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000149,ZAMZAM PHARMACY LLC SHARJAH,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000370,BAIT AL SHIFA PHARMACY,SHJ,PHARMACY,Shifa/ADICO,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000837,BURJEEL SPECIALTY HOSPITAL PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000117,AL SAMA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000396,AL SANA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000241,HEALTH CARE PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000631,NAJMAT MUWAILEH PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000336,AL WAAD PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001017,AL AMANI PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000331,AL QADSYAH PHARMACY L.L.C,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001016,AL SHALAL PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001064,SHIFA AL JAZEERAH CENTER PHARMACY LLC SHJ BR,SHJ,PHARMACY,Shifa/ADICO,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000184,AL MUSALLA PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000253,SAIFZONE PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000679,RUKN AL SALAM PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000795,AL AZHAR PHARMACY (SHARJAH),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000358,NAJMAT SAHARA(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000136,SALSABEEL RX(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000360,SAHARA AL JAZEERA(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000387,MARHABA RX(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000700,AL RUAYA(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000605,FATIMA ZAHRA(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000382,LUBNA(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000388,SCIENTIFIC RX(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000606,AL RAYAH RX(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000468,MEDICARE RX(NOVO),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000991,AL GHAD AL AFDAL PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000980,AL GHAD PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000992,AL HAYAT AL SAEEDA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000904,DAR AL SAJAA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000823,RKN AL RAHA PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000096,"HAMAD PHARMACY LLC-,SHAHBA ,SHARJAH",SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000139,"SHARJAH PHARMACY LLC-ROLLA,SHARJAH",SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000092,"GRAND HAMAD PHARMACY LLC-AL NAHDA,SHARJAH",SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000691,HAMAD AL IHTERAFEYA PHARMACY LLC-MAYSLOON SHARJAH,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000693,HAMAD AL OULA PHARMACY LLC-SHAHBA AREA,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000830,"NMC MEDICAL CENTRE PHARMACY LLC N.M.C BR 1-AL MAJAZ ,SHARJAH",SHJ,PHARMACY,NMC,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000124,"NEW MEDICAL CENTRE PHARMACY LLC-N.M.C,SHARJAH-BEL RESHEED TOWER ,SHARJAH",SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000883,N.M.C MEDICAL CENTRE F.Z.C PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000101,JANAH PHARMACY L.L.C,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000745,AL HADHAR PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000790,AL FARAH AL HADITHAH PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000720,PALMYRA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000678,RUKN AL UFUQ PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000680,MEDI PLUS PHARMACY SHJ. BR.  LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000369,AL NAHDA PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000233,AL  TAMIMI PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000422,HADEQAT AL ROLA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000302,REEM PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000607,BURJ AL NAHDA PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000615,AL BURHAN PHARMACY LLC ,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH1102,AL MUBARAK CENTRE PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000386,AL RAWDHA  PHARMACY  LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000670,DAR AL NASEEM PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000687,ZAHRAT AL MADINAH PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000714,NAJMAT ABU SHAGARA PHARMACY ,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000871,NADEEN PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000851,NAJMAT AL ROLLA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000928,LIVE CARE PHARMACY LLC SHJ BR,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000501,(LIBERTY GR)-AL DUNIA PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000303,(LIBERTY GR)-SAIF AL KHAN PAHRMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000046,(LIBERTY GR)-AL SAIF PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000379,AL AHSAN PHARMACY SHARJAH,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000273,AL WASHAH PHARMACY-LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001082,BOORJ AL ROLLA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001109,SAMA MUWAILEH PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000476,PESHAWAR PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001080,AL MISBAH PHARMACY L.L.C,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000111,MILLENNIUM PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000381,LIFE LINE PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000083,DOCTORS PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000080,DELMON PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000399,IBN BATUTA PHARMACY LLC (SHARJAH),SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH332,DEIRA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000238,DAR AL HIKMAH PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000321,GARDEN PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000364,MOTHER CARE PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000310,AL MEENA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000130,RASHA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000834,ROYAL GARDEN PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000833,AL WASFA PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000668,GOOD HEALTH GR-AL KARAZ PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000021,AL ITEKAL PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000538,NAWAIEM PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH602,AL FAROOQ PHARMACY L.L.C,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000338,AL AQSA PHARMACY L.L.C,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH576,AL FARAH PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000316,AL RAZY PHARMACY L.L.C,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000595,DAR AL FARAH PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000256,DELTA AL MAMZAR PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000081,DELTA PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000317,DELTA AL DHAID PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000341,DELTA MODERN PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000723,NASEEM AL BATAEH PHARMACY,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000356,AL RAYAN PHARMACY LLC,SHJ,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
